Machine    ,    Process 1,      Process 2,      Process 3,      Process 4,      Process 5,      

MANUAL#1   ,    B4: 0 OP110  0,    A0: 0 OP110  22,    B5: 0 OP110  44,    
MANUAL#2   ,    A3: 0 OP110  0,    
MANUAL#3   ,    A2: 0 OP110  0,    A1: 0 OP110  22,    
THERMAL#1-1,    
THERMAL#1-2,    A1: 1 OP120  45,    
THERMAL#1-3,    B4: 1 OP120  23,    B5: 1 OP120  67,    
THERMAL#2-1,    A3: 1 OP120  23,    
THERMAL#2-2,    A2: 1 OP120  23,    
THERMAL#2-3,    A0: 1 OP120  45,    
FD125#1    ,    A0: 4 OP150  117,    A1: 4 OP150  175,    
FD125#2    ,    A0: 3 OP140  89,    A2: 2 OP130  117,    B4: 3 OP140  124,    
FD125#3    ,    A3: 2 OP130  60,    A0: 2 OP130  82,    A2: 3 OP140  124,    B5: 4 OP150  158,    
FD125#4    ,    A3: 3 OP140  67,    A1: 2 OP130  95,    A1: 3 OP140  102,    B5: 3 OP140  130,    B4: 4 OP150  158,    
FD80       ,    A3: 4 OP150  95,    A2: 4 OP150  153,    
VTL#2      ,    
VTL#3      ,    B4: 2 OP130  60,    B5: 2 OP130  104,    
Mazak 730  ,    
Mazak i800 ,    
MANUAL#4   ,    B4: 5 OP160  216,    A1: 5 OP160  246,    
MANUAL#5   ,    A2: 5 OP160  211,    
MANUAL#6   ,    A3: 5 OP160  153,    A0: 5 OP160  183,    B5: 5 OP160  216,    
